id,name,product_name,category,price,quantity,date,region,status,discount,total
1,"Burns, Howard and Lynn",Fusion CoreStratos X,tools,276.84,6,2025-03-14,EU,Pending,3.0%,1611.21
2,"Mayo, Fuentes and Gross",Sonic Beam,Beauty,939.44,15,2025-03-14,Asia,Delivered,30.0%,9864.12
3,Trujillo PLC,Zenith Elite,Beauty,514.94,14,2025-03-14,US,Pending,27.0%,5262.69
4,"Garcia, White and Nixon",Optima Ultra,Clothing,934.3,17,2025-03-14,South America,Pending,19.0%,12865.31
5,Williams PLC,Spectrum Air,Home,874.72,12,2025-03-14,Asia,Returned,26.0%,7767.51
6,Clements Ltd,Astra Prime,cars,59.55,8,2025-03-14,US,Returned,8.0%,438.29
7,Jones-King,Cyber Shield,Clothing,589.43,9,2025-03-14,EU,Returned,13.0%,4615.24
8,"Randall, Anderson and Stewart",Optima Ultra,tools,449.84,20,2025-03-14,US,Returned,4.0%,8636.93
9,Weber Group,Vortex Max,Clothing,399.87,3,2025-03-14,North America,Delivered,28.0%,863.72
10,Lowery-Norton,Solar Max,Electronics,158.95,15,2025-03-14,North America,Returned,24.0%,1812.03
11,"Green, Velasquez and Sanchez",Quantum Plus,Beauty,769.05,4,2025-03-14,US,Pending,19.0%,2491.72
12,Gillespie-Gibbs,Hyper Nova,Home,127.49,4,2025-03-14,South America,Delivered,0.0%,509.96
13,"Brown, Waters and Brown",Titan Edge,cars,127.68,3,2025-03-14,South America,Shipped,12.0%,337.08
14,Mcdonald Ltd,Vision Lite,Toys,221.02,13,2025-03-14,US,Pending,8.0%,2643.4
15,Lewis Group,Zenith Elite,Toys,784.47,1,2025-03-14,South America,Shipped,13.0%,682.49
16,"Jordan, Aguirre and Bailey",Quantum Plus,Clothing,990.06,7,2025-03-14,EU,Delivered,11.0%,6168.07
17,Keller LLC,Sonic Beam,Beauty,42.63,4,2025-03-14,EU,Returned,30.0%,119.36
18,Villa-Perez,Nova Basic,Beauty,456.26,10,2025-03-14,North America,Delivered,22.0%,3558.83
19,"Carroll, Edwards and Butler",Quantum Plus,Home,805.82,5,2025-03-14,EU,Pending,27.0%,2941.24
